                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 0.5478,                 0.9739,                 0.8804,                0.00335,                      1,                  0.995,                0.88408,                0.49261,                 2.5684,                 0.7895,               0.029097,              0.0020966,              0.0020966
                     37,                 0.5109,                0.79298,                0.81025,                0.94683,                      1,                  0.995,                0.87914,                0.53933,                 2.4032,                0.79472,               0.027006,              0.0020055,              0.0020055
                     38,                 0.5767,                0.86935,                0.87058,                0.98576,                0.83699,                  0.995,                0.87418,                0.59056,                 2.3744,                0.79638,               0.024907,              0.0019065,              0.0019065
                     39,                0.59383,                0.80533,                0.87874,                      1,                 0.4442,                0.99045,                0.88933,                0.58402,                 2.2775,                   0.81,                 0.0228,              0.0017996,              0.0017996
                     40,                 0.4485,                0.84811,                0.81296,                      1,                0.35018,                0.97167,                 0.8598,                0.58368,                 2.2709,                0.81143,               0.020685,              0.0016848,              0.0016848
                     41,                 0.5216,                 0.7309,                 0.8386,                      1,                0.56993,                0.98136,                0.88798,                0.56186,                 2.1034,                0.80235,               0.018562,              0.0015621,              0.0015621
                     42,                0.46109,                0.75215,                0.81637,                0.94392,                0.61791,                0.98136,                0.85015,                0.64211,                 1.9825,                0.81823,               0.016431,              0.0014314,              0.0014314
                     43,                0.47991,                0.84562,                  0.816,                0.96134,                0.72676,                0.98591,                 0.8781,                0.55408,                 1.8485,                  0.796,               0.014293,              0.0012928,              0.0012928
                     44,                0.42274,                0.67743,                0.85156,                      1,                0.68122,                0.98591,                0.88629,                0.59008,                 1.8945,                0.80049,               0.012146,              0.0011463,              0.0011463
                     45,                0.44008,                0.68818,                0.79383,                      1,                0.75958,                  0.995,                0.90281,                0.48885,                 1.8046,                0.78786,              0.0099919,              0.0009919,              0.0009919
                     46,                0.42351,                0.68141,                0.81276,                      1,                0.84113,                  0.995,                0.90002,                0.52886,                 1.6638,                0.79098,              0.0078296,             0.00082956,             0.00082956
                     47,                0.43221,                0.68535,                0.81431,                0.99289,                0.97043,                  0.995,                0.90593,                0.48647,                 1.5789,                0.78382,              0.0056593,              0.0006593,              0.0006593
                     48,                0.39935,                0.66413,                0.80588,                0.99488,                0.98173,                  0.995,                 0.8921,                0.50336,                  1.557,                0.78832,              0.0034811,             0.00048112,             0.00048112
                     49,                0.41614,                0.62133,                  0.809,                0.99142,                      1,                  0.995,                 0.9074,                0.49075,                 1.4943,                0.78682,               0.001295,             0.00029502,             0.00029502
